Date,Close/Last,Volume,Open,High,Low
08/23/2024,$75.70,12299090,$75.60,$75.81,$75.0077
08/22/2024,$75.58,16511140,$75.37,$76.22,$75.15
08/21/2024,$75.24,14831990,$75.30,$75.58,$74.59
08/20/2024,$74.54,14433990,$73.75,$74.75,$73.72
08/19/2024,$73.72,13709270,$73.39,$73.98,$73.34
08/16/2024,$73.45,19872140,$72.70,$73.605,$72.52
08/15/2024,$73.18,49567500,$74.12,$74.44,$72.78
08/14/2024,$68.66,22928550,$67.92,$68.79,$67.85
08/13/2024,$68.13,26557900,$68.43,$68.61,$67.14
08/12/2024,$68.70,17385280,$68.34,$69.225,$68.07
08/09/2024,$67.95,13805580,$67.85,$68.22,$67.33
08/08/2024,$67.66,12489820,$66.84,$67.9199,$66.67
08/07/2024,$66.91,18499200,$67.87,$68.01,$66.81
08/06/2024,$67.74,14815070,$67.84,$68.63,$67.68
08/05/2024,$67.59,20770460,$68.10,$68.58,$66.91
08/02/2024,$68.46,23578660,$69.60,$70.235,$67.74
08/01/2024,$69.79,17275530,$68.91,$69.80,$68.52
07/31/2024,$68.64,22908760,$69.18,$69.25,$68.29
07/30/2024,$69.19,12522470,$69.55,$69.845,$68.98
07/29/2024,$69.62,10315310,$69.85,$69.90,$69.13
07/26/2024,$69.78,16789310,$70.23,$70.235,$68.83
07/25/2024,$70.02,18821200,$70.60,$70.77,$69.95
07/24/2024,$70.60,22490780,$70.52,$70.84,$70.34
07/23/2024,$70.65,9263561,$70.47,$70.70,$70.11
07/22/2024,$70.38,12666130,$70.86,$71.26,$70.2301
07/19/2024,$70.75,11665530,$71.20,$71.33,$70.65
07/18/2024,$70.82,10682740,$70.68,$71.19,$70.43
07/17/2024,$71.03,13533790,$70.18,$71.10,$69.95
07/16/2024,$69.99,9836824,$69.82,$70.24,$69.58
07/15/2024,$69.61,10171140,$69.30,$69.975,$69.30
07/12/2024,$69.24,12145320,$69.90,$70.0299,$69.17
07/11/2024,$69.80,15624800,$70.18,$70.45,$69.26
07/10/2024,$70.41,10803410,$70.10,$70.44,$69.72
07/09/2024,$69.90,9781831,$69.90,$70.25,$69.67
07/08/2024,$69.68,12077680,$69.90,$70.14,$69.35
07/05/2024,$70.04,21586100,$68.16,$70.15,$68.10
07/03/2024,$68.24,6287545,$67.81,$68.25,$67.62
07/02/2024,$68.07,9436487,$67.44,$68.085,$67.26
07/01/2024,$67.48,8666021,$67.89,$68.24,$67.25
06/28/2024,$67.71,18816720,$67.87,$68.0981,$67.32
06/27/2024,$67.88,12899190,$68.29,$68.58,$67.665
06/26/2024,$68.29,14177520,$67.40,$68.5999,$67.21
06/25/2024,$67.42,20904040,$67.17,$67.59,$66.55
06/24/2024,$68.90,12470450,$68.05,$69.04,$67.90
06/21/2024,$67.91,25891530,$68.26,$68.55,$67.83
06/20/2024,$68.01,13860760,$67.35,$68.13,$67.30
06/18/2024,$67.60,12093550,$67.63,$67.87,$67.295
06/17/2024,$67.42,12103040,$66.92,$67.44,$66.4125
06/14/2024,$67.02,12590150,$66.54,$67.11,$66.30
06/13/2024,$66.70,11196600,$66.30,$66.76,$65.9491
06/12/2024,$66.31,11704700,$66.85,$66.94,$65.898
06/11/2024,$66.73,13367510,$66.95,$66.96,$66.35
06/10/2024,$66.96,21667420,$67.19,$67.33,$66.27
06/07/2024,$65.88,20213210,$67.40,$67.565,$65.635
